ensembl_gene_id	gene_biotype	external_gene_name	percentage_gene_gc_content
ENSMUSG00000000308	protein_coding	Ckmt1	48.09
ENSMUSG00000000317	protein_coding	Bcl6b	51.38
ENSMUSG00000000318	protein_coding	Clec10a	47.28
ENSMUSG00000000320	protein_coding	Alox12	48.86
ENSMUSG00000000325	protein_coding	Arvcf	50.36
ENSMUSG00000000326	protein_coding	Comt	48.68
ENSMUSG00000000339	protein_coding	Rtca	43.09
ENSMUSG00000000340	protein_coding	Dbt	44.05
ENSMUSG00000000346	protein_coding	Dazap2	50.58
ENSMUSG00000000355	protein_coding	Mcts1	37.89
ENSMUSG00000000359	protein_coding	Rem1	52.13
ENSMUSG00000000365	protein_coding	Rnf17	38.66
ENSMUSG00000000374	protein_coding	Trappc10	48.02
ENSMUSG00000000378	protein_coding	Ccm2	47.75
ENSMUSG00000000381	protein_coding	Wap	52.44
ENSMUSG00000000384	protein_coding	Tbrg4	51.38
ENSMUSG00000000385	protein_coding	Tmprss2	46.44
ENSMUSG00000000386	polymorphic_pseudogene	Mx1	46.16
ENSMUSG00000000392	protein_coding	Fap	38.39
ENSMUSG00000000394	protein_coding	Gcg	37.47
ENSMUSG00000000399	protein_coding	Ndufa9	45.75
ENSMUSG00000000402	protein_coding	Egfl6	42.54
ENSMUSG00000000409	protein_coding	Lck	48.13
ENSMUSG00000000411	protein_coding	Tssk3	52.81
ENSMUSG00000000416	protein_coding	Cttnbp2	40.7
ENSMUSG00000000420	protein_coding	Galnt1	40.82
ENSMUSG00000000435	protein_coding	Myf5	43.32
ENSMUSG00000000439	protein_coding	Mkrn2	47.04
ENSMUSG00000000440	protein_coding	Pparg	39.51
ENSMUSG00000000441	protein_coding	Raf1	42.75
ENSMUSG00000000486	protein_coding	Septin1	48.19
ENSMUSG00000000489	protein_coding	Pdgfb	55.39
ENSMUSG00000000530	protein_coding	Acvrl1	52.3
ENSMUSG00000000531	protein_coding	Grasp	55.63
ENSMUSG00000000532	protein_coding	Acvr1b	49.44
ENSMUSG00000000538	protein_coding	Tom1l2	46.54
ENSMUSG00000000544	protein_coding	Gpa33	48.91
ENSMUSG00000000552	protein_coding	Zfp385a	50.68
ENSMUSG00000000555	protein_coding	Itga5	50.81
ENSMUSG00000000560	protein_coding	Gabra2	36.51
ENSMUSG00000000561	protein_coding	Wdr77	44.83
ENSMUSG00000000562	protein_coding	Adora3	45.35
ENSMUSG00000000563	protein_coding	Atp5pb	40.23
ENSMUSG00000000567	protein_coding	Sox9	50.95
ENSMUSG00000000568	protein_coding	Hnrnpd	38.55
ENSMUSG00000000579	protein_coding	Dynlt1c	47.56
ENSMUSG00000000581	protein_coding	C1d	37.25
ENSMUSG00000000594	protein_coding	Gm2a	48.96
ENSMUSG00000000600	protein_coding	Krit1	36.51
ENSMUSG00000000605	protein_coding	Clcn4	47.23
ENSMUSG00000000606	protein_coding	Vmn2r88	35.79
ENSMUSG00000000617	protein_coding	Grm6	50.24
ENSMUSG00000000627	protein_coding	Sema4f	47.76
ENSMUSG00000000628	protein_coding	Hk2	49.08
ENSMUSG00000000631	protein_coding	Myo18a	51.78
ENSMUSG00000000632	protein_coding	Sez6	51.55
ENSMUSG00000000673	protein_coding	Haao	50.92
ENSMUSG00000000682	protein_coding	Cd52	49.53
ENSMUSG00000000686	protein_coding	Abhd15	43.32
ENSMUSG00000000690	protein_coding	Hoxb6	52.14
ENSMUSG00000000693	protein_coding	Loxl3	49.9
ENSMUSG00000000701	protein_coding	Tcl1b5	49.5
ENSMUSG00000000706	protein_coding	Btn1a1	45.26
ENSMUSG00000000708	protein_coding	Kat2b	43.46
ENSMUSG00000000711	protein_coding	Rab5b	44.42
ENSMUSG00000000724	protein_coding	Cryba1	42.74
ENSMUSG00000000730	protein_coding	Dnmt3l	50.17
ENSMUSG00000000731	protein_coding	Aire	52.02
ENSMUSG00000000732	protein_coding	Icosl	49.9
ENSMUSG00000000738	protein_coding	Spg7	48.71
ENSMUSG00000000739	protein_coding	Sult5a1	49.92
ENSMUSG00000000740	protein_coding	Rpl13	54.34
ENSMUSG00000000743	protein_coding	Chmp1a	53.56
ENSMUSG00000000751	protein_coding	Rpa1	44.89
ENSMUSG00000000753	protein_coding	Serpinf1	49.44
ENSMUSG00000000759	protein_coding	Tubgcp3	46.98
ENSMUSG00000000766	protein_coding	Oprm1	40.52
ENSMUSG00000000776	protein_coding	Polr3d	51.78
ENSMUSG00000000782	protein_coding	Tcf7	53.06
ENSMUSG00000000787	protein_coding	Ddx3x	39.75
ENSMUSG00000000791	protein_coding	Il12rb1	52.9
ENSMUSG00000000792	protein_coding	Slc5a5	54.85
ENSMUSG00000000794	protein_coding	Kcnn3	48.56
ENSMUSG00000000804	protein_coding	Usp32	39.1
ENSMUSG00000000805	protein_coding	Car4	52.03
ENSMUSG00000000811	protein_coding	Txnrd3	47.25
ENSMUSG00000000817	protein_coding	Fasl	41.71
ENSMUSG00000000823	protein_coding	Zfp512b	53.58
ENSMUSG00000000826	protein_coding	Dnajc5	42.98
ENSMUSG00000000827	protein_coding	Tpd52l2	44.51
ENSMUSG00000000838	protein_coding	Fmr1	35.06
ENSMUSG00000000861	protein_coding	Bcl11a	45.53
ENSMUSG00000000869	protein_coding	Il4	47.09
ENSMUSG00000000876	protein_coding	Pxmp4	47.38
ENSMUSG00000000881	protein_coding	Dlg3	46.89
ENSMUSG00000000884	protein_coding	Gnb1l	47.73
ENSMUSG00000000889	protein_coding	Dbh	51.66
ENSMUSG00000000901	protein_coding	Mmp11	53.54
ENSMUSG00000000902	protein_coding	Smarcb1	48.04
ENSMUSG00000000903	protein_coding	Vpreb3	47.86
ENSMUSG00000000915	protein_coding	Hip1r	54.59
ENSMUSG00000000916	protein_coding	Nsun5	51.36
ENSMUSG00000000934	protein_coding	Top1mt	52.57
ENSMUSG00000000938	protein_coding	Hoxa10	50.46
ENSMUSG00000000942	protein_coding	Hoxa4	57.27
ENSMUSG00000000948	protein_coding	Gm38393	35.42
ENSMUSG00000000957	protein_coding	Mmp14	53.13
ENSMUSG00000000958	protein_coding	Slc7a7	47.12
ENSMUSG00000000959	protein_coding	Oxa1l	47.94
ENSMUSG00000000976	protein_coding	Heatr6	45.93
ENSMUSG00000000982	protein_coding	Ccl3	46.3
ENSMUSG00000000983	protein_coding	Wfdc18	45.84
ENSMUSG00000001014	protein_coding	Icam4	58.3
ENSMUSG00000001016	protein_coding	Ilf2	42.32
ENSMUSG00000001017	protein_coding	Chtop	42.19
ENSMUSG00000001018	protein_coding	Snapin	45.35
ENSMUSG00000001020	protein_coding	S100a4	48.53
ENSMUSG00000001021	protein_coding	S100a3	49.07
ENSMUSG00000001023	protein_coding	S100a5	50.12
ENSMUSG00000001025	protein_coding	S100a6	47.42
ENSMUSG00000001027	protein_coding	Scn4a	51.42
ENSMUSG00000001029	protein_coding	Icam2	48.84
ENSMUSG00000001034	protein_coding	Mapk7	54.78
ENSMUSG00000001036	protein_coding	Epn2	45.69
ENSMUSG00000001039	protein_coding	B9d1	48.78
ENSMUSG00000001052	protein_coding	Sec24b	44.2
ENSMUSG00000001053	protein_coding	N4bp3	56.75
ENSMUSG00000001054	protein_coding	Rmnd5b	50.38
ENSMUSG00000001056	protein_coding	Nhp2	50.38
ENSMUSG00000001062	protein_coding	Vps9d1	54.85
ENSMUSG00000001065	protein_coding	Zfp276	51.54
ENSMUSG00000001076	protein_coding	C1ql4	53.48
ENSMUSG00000001082	protein_coding	Mfsd10	57.97
ENSMUSG00000001089	protein_coding	Luzp1	40.42
ENSMUSG00000001095	protein_coding	Slc13a2	49.99
ENSMUSG00000001098	protein_coding	Kctd10	54.26
ENSMUSG00000001100	protein_coding	Poldip2	48.81
ENSMUSG00000001103	protein_coding	Sebox	53.39
ENSMUSG00000001105	protein_coding	Ift20	47.18
ENSMUSG00000001119	protein_coding	Col6a1	54.16
ENSMUSG00000001120	protein_coding	Pcbp3	45.07
ENSMUSG00000001123	protein_coding	Lgals9	48.47
ENSMUSG00000001127	protein_coding	Araf	42.71
ENSMUSG00000001128	protein_coding	Cfp	47.82
ENSMUSG00000001131	protein_coding	Timp1	46.96
ENSMUSG00000001134	protein_coding	Uxt	42.12
ENSMUSG00000001138	protein_coding	Cnnm3	52.74
ENSMUSG00000001143	protein_coding	Lman2l	47.29
ENSMUSG00000001150	protein_coding	Mcm3ap	45.98
ENSMUSG00000001151	protein_coding	Pcnt	47.6
ENSMUSG00000001155	protein_coding	Ftcd	50.1
ENSMUSG00000001156	protein_coding	Mxd1	48.43
ENSMUSG00000001157	protein_coding	Gmcl1	43.35
ENSMUSG00000001158	protein_coding	Snrnp27	43.33
ENSMUSG00000001166	protein_coding	Oas1c	50.26
ENSMUSG00000001168	protein_coding	Oas1h	48.44
ENSMUSG00000001173	protein_coding	Ocrl	42
ENSMUSG00000001175	protein_coding	Calm1	47.93
ENSMUSG00000001211	protein_coding	Agpat3	50.47
ENSMUSG00000001225	protein_coding	Slc26a3	42.02
ENSMUSG00000001227	protein_coding	Sema6b	56.44
ENSMUSG00000001228	protein_coding	Uhrf1	52.44
ENSMUSG00000001229	protein_coding	Dpp9	54.17
ENSMUSG00000001240	protein_coding	Ramp2	48.62
ENSMUSG00000001247	protein_coding	Lsr	50.38
ENSMUSG00000001248	protein_coding	Gramd1a	52.22
ENSMUSG00000001249	protein_coding	Hpn	51.94
ENSMUSG00000001260	protein_coding	Gabrg1	35.86
ENSMUSG00000001270	protein_coding	Ckb	61.92
ENSMUSG00000001280	protein_coding	Sp1	42.07
ENSMUSG00000001281	protein_coding	Itgb7	49.54
ENSMUSG00000001285	protein_coding	Myg1	49.42
ENSMUSG00000001288	protein_coding	Rarg	53.53
ENSMUSG00000001289	protein_coding	Pfdn5	47.43
ENSMUSG00000001300	protein_coding	Efnb2	45.21
ENSMUSG00000001305	protein_coding	Rrp15	45.2
ENSMUSG00000001313	protein_coding	Rnd2	54.98
ENSMUSG00000001323	protein_coding	Srr	43.41
ENSMUSG00000001333	protein_coding	Sync	47.2
ENSMUSG00000001334	protein_coding	Fndc5	53.06
ENSMUSG00000001348	protein_coding	Acp5	52.33
ENSMUSG00000001349	protein_coding	Cnn1	51.99
ENSMUSG00000001366	protein_coding	Fbxo9	44
ENSMUSG00000001376	protein_coding	Vps50	39.55
ENSMUSG00000001380	protein_coding	Hars	44.1
ENSMUSG00000001383	protein_coding	Zmat2	45.66
ENSMUSG00000001403	protein_coding	Ube2c	50.81
ENSMUSG00000001415	protein_coding	Smg5	49.12
ENSMUSG00000001416	protein_coding	Cct3	43.27
ENSMUSG00000001418	protein_coding	Glmp	51.68
ENSMUSG00000001419	protein_coding	Mef2d	52.66
ENSMUSG00000001420	protein_coding	Tmem79	51.49
ENSMUSG00000001424	protein_coding	Snd1	43.79
ENSMUSG00000001435	protein_coding	Col18a1	50.81
ENSMUSG00000001436	protein_coding	Slc19a1	52.38
ENSMUSG00000001440	protein_coding	Kpnb1	44.11
ENSMUSG00000001441	protein_coding	Npepps	41.18
ENSMUSG00000001444	protein_coding	Tbx21	48.47
ENSMUSG00000001445	protein_coding	Mrpl10	48.68
ENSMUSG00000001467	protein_coding	Cyp51	42.39
ENSMUSG00000001472	protein_coding	Tcf25	50.22
ENSMUSG00000001473	protein_coding	Tubb6	48.34
ENSMUSG00000001482	protein_coding	Def8	49.55
ENSMUSG00000001493	protein_coding	Meox1	51.14
ENSMUSG00000001494	protein_coding	Sost	55.62
ENSMUSG00000001496	protein_coding	Nkx2-1	58.61
ENSMUSG00000001497	protein_coding	Pax9	43.49
ENSMUSG00000001504	protein_coding	Irx2	54.25
ENSMUSG00000001506	protein_coding	Col1a1	53.92
ENSMUSG00000001507	protein_coding	Itga3	50.82
ENSMUSG00000001508	protein_coding	Sgca	50.93
ENSMUSG00000001510	protein_coding	Dlx3	55.54
ENSMUSG00000001517	protein_coding	Foxm1	50.28
ENSMUSG00000001518	protein_coding	Itfg2	47.25
ENSMUSG00000001520	protein_coding	Nrip2	50.09
ENSMUSG00000001521	protein_coding	Tulp3	46.91
ENSMUSG00000001524	protein_coding	Gtf2h4	52.46
ENSMUSG00000001525	protein_coding	Tubb5	51.62
ENSMUSG00000001542	protein_coding	Ell2	40.06
ENSMUSG00000001552	protein_coding	Jup	52.25
ENSMUSG00000001555	protein_coding	Fkbp10	52.02
ENSMUSG00000001558	protein_coding	Klhl10	46.03
ENSMUSG00000001566	protein_coding	Mnx1	54.09
ENSMUSG00000001569	protein_coding	Nom1	44.93
ENSMUSG00000001576	protein_coding	Ergic1	50.43
ENSMUSG00000001583	protein_coding	Tnk1	52.86
ENSMUSG00000001588	protein_coding	Acap1	49.9
ENSMUSG00000001604	protein_coding	Tcea3	49.96
ENSMUSG00000001622	protein_coding	Csn3	34.15
ENSMUSG00000001627	protein_coding	Ifrd1	41.54
ENSMUSG00000001630	protein_coding	Stk38l	42.34
ENSMUSG00000001632	protein_coding	Brpf1	48.33
ENSMUSG00000001642	protein_coding	Akr1b3	49.81
ENSMUSG00000001655	protein_coding	Hoxc13	47.74
ENSMUSG00000001656	protein_coding	Hoxc11	57.1
ENSMUSG00000001657	protein_coding	Hoxc8	50.16
ENSMUSG00000001661	protein_coding	Hoxc6	49.24
ENSMUSG00000001663	protein_coding	Gstt1	46.62
ENSMUSG00000001665	protein_coding	Gstt3	49.12
ENSMUSG00000001666	protein_coding	Ddt	53.32
ENSMUSG00000001670	protein_coding	Tat	45.34
ENSMUSG00000001672	protein_coding	Marveld3	48.8
ENSMUSG00000001674	protein_coding	Ddx18	46.3
ENSMUSG00000001687	protein_coding	Ubl3	42.33
ENSMUSG00000001700	protein_coding	Gramd3	43.58
ENSMUSG00000001707	protein_coding	Eef1e1	44.24
ENSMUSG00000001729	protein_coding	Akt1	57.7
ENSMUSG00000001739	protein_coding	Cldn15	51.6
ENSMUSG00000001741	protein_coding	Il16	45.12
ENSMUSG00000001750	protein_coding	Tcirg1	53.89
ENSMUSG00000001751	protein_coding	Naglu	53.06
ENSMUSG00000001755	protein_coding	Coasy	55.44
ENSMUSG00000001761	protein_coding	Smo	48.36
ENSMUSG00000001763	protein_coding	Tspan33	48.29
ENSMUSG00000001767	protein_coding	Crnkl1	43.23
ENSMUSG00000001768	protein_coding	Rin2	44.91
ENSMUSG00000001773	protein_coding	Folh1	35.36
ENSMUSG00000001774	protein_coding	Chordc1	37.71
ENSMUSG00000001783	protein_coding	Rtcb	43.68
ENSMUSG00000001785	protein_coding	Pwp1	44.02
ENSMUSG00000001786	protein_coding	Fbxo7	42.16
ENSMUSG00000001794	protein_coding	Capns1	50.01
ENSMUSG00000001802	protein_coding	Lrp3	54.68
ENSMUSG00000001804	protein_coding	Dsg4	40.54
ENSMUSG00000001815	protein_coding	Evx2	50.78
ENSMUSG00000001819	protein_coding	Hoxd13	46.17
ENSMUSG00000001823	protein_coding	Hoxd12	54.21
ENSMUSG00000001827	protein_coding	Folr1	46.35
ENSMUSG00000001829	protein_coding	Clpb	46.32
ENSMUSG00000001833	protein_coding	Septin7	35.94
ENSMUSG00000001844	protein_coding	Zdhhc4	49.8
ENSMUSG00000001847	protein_coding	Rac1	47.12
ENSMUSG00000001855	protein_coding	Nup214	45.88
ENSMUSG00000001864	protein_coding	Aif1l	52.11
ENSMUSG00000001865	protein_coding	Cpa3	37.4
ENSMUSG00000001870	protein_coding	Ltbp1	42.66
ENSMUSG00000001891	protein_coding	Ugp2	39.6
ENSMUSG00000001901	protein_coding	Kcnh6	50.92
ENSMUSG00000001909	protein_coding	Trmt1	51.34
ENSMUSG00000001910	protein_coding	Nacc1	50.66
ENSMUSG00000001911	protein_coding	Nfix	53.14
ENSMUSG00000001918	protein_coding	Slc1a5	50.63
ENSMUSG00000001924	protein_coding	Uba1	46.94
ENSMUSG00000001930	protein_coding	Vwf	48.13
ENSMUSG00000001942	protein_coding	Siae	42.36
ENSMUSG00000001943	protein_coding	Vsig2	48.76
ENSMUSG00000001946	protein_coding	Esam	48.41
ENSMUSG00000001948	protein_coding	Spa17	38.21
ENSMUSG00000001962	protein_coding	Fam50a	48.98
ENSMUSG00000001964	protein_coding	Emd	46.56
ENSMUSG00000001983	protein_coding	Taco1	46.69
ENSMUSG00000001985	protein_coding	Grik3	50.31
ENSMUSG00000001986	protein_coding	Gria3	38.76
ENSMUSG00000001988	protein_coding	Npas1	52.76
ENSMUSG00000001995	protein_coding	Sipa1l2	49.31
ENSMUSG00000001998	protein_coding	Ap4e1	41.28
ENSMUSG00000001999	protein_coding	Blvra	44
ENSMUSG00000002006	protein_coding	Pdzd4	45.8
ENSMUSG00000002007	protein_coding	Srpk3	53.68
ENSMUSG00000002010	protein_coding	Idh3g	47.41
ENSMUSG00000002012	protein_coding	Pnck	57.25
ENSMUSG00000002014	protein_coding	Ssr4	50.96
ENSMUSG00000002015	protein_coding	Bcap31	43.49
ENSMUSG00000002017	protein_coding	Fam98a	42.35
ENSMUSG00000002020	protein_coding	Ltbp2	49.92
ENSMUSG00000002028	protein_coding	Kmt2a	45.68
ENSMUSG00000002031	protein_coding	Ift46	45.24
ENSMUSG00000002032	protein_coding	Tmem25	52.41
ENSMUSG00000002033	protein_coding	Cd3g	44.36
ENSMUSG00000002043	protein_coding	Trappc6a	52.91
ENSMUSG00000002052	protein_coding	Supt6	46.39
ENSMUSG00000002055	protein_coding	Spag5	45.73
ENSMUSG00000002057	protein_coding	Foxn1	52.41
ENSMUSG00000002058	protein_coding	Unc119	56.47
ENSMUSG00000002059	protein_coding	Rab34	56.64
ENSMUSG00000002064	protein_coding	Sdf2	44.57
ENSMUSG00000002068	protein_coding	Ccne1	47.45
ENSMUSG00000002076	protein_coding	Hsf2bp	44.67
ENSMUSG00000002083	protein_coding	Bbc3	57.65
ENSMUSG00000002100	protein_coding	Mybpc3	53.08
ENSMUSG00000002102	protein_coding	Psmc3	51.95
ENSMUSG00000002103	protein_coding	Acp2	45.84
ENSMUSG00000002104	protein_coding	Rapsn	50.3
ENSMUSG00000002105	protein_coding	Slc39a13	53.74
ENSMUSG00000002107	protein_coding	Celf2	40.13
ENSMUSG00000002108	protein_coding	Nr1h3	46.51
ENSMUSG00000002109	protein_coding	Ddb2	42.01
ENSMUSG00000002111	protein_coding	Spi1	49.89
ENSMUSG00000002129	protein_coding	Sf3a1	46.56
ENSMUSG00000002147	protein_coding	Stat6	50.23
ENSMUSG00000002190	protein_coding	Clgn	44.3
ENSMUSG00000002204	protein_coding	Napsa	47.77
ENSMUSG00000002205	protein_coding	Vrk3	49.01
ENSMUSG00000002210	protein_coding	Smg9	52.74
ENSMUSG00000002221	protein_coding	Paxip1	46.06
ENSMUSG00000002222	protein_coding	Rmnd5a	40.99
ENSMUSG00000002227	protein_coding	Mov10	48.62
ENSMUSG00000002228	protein_coding	Ppm1j	55.89
ENSMUSG00000002233	protein_coding	Rhoc	55.27
ENSMUSG00000002240	protein_coding	Prr27	37.71
ENSMUSG00000002249	protein_coding	Tead3	56.36
ENSMUSG00000002250	protein_coding	Ppard	52.89
ENSMUSG00000002257	protein_coding	Def6	50.73
ENSMUSG00000002265	protein_coding	Peg3	44.95
ENSMUSG00000002266	protein_coding	Zim1	43.87
ENSMUSG00000002274	protein_coding	Metrn	57.35
ENSMUSG00000002279	protein_coding	Lmf1	51.67
ENSMUSG00000002280	protein_coding	Ciao3	54.7
ENSMUSG00000002289	protein_coding	Angptl4	49.02
ENSMUSG00000002297	protein_coding	Dbf4	39.01
ENSMUSG00000002307	protein_coding	Daxx	53.62
ENSMUSG00000002308	protein_coding	Cd320	49.84
ENSMUSG00000002319	protein_coding	Ipo4	54.41
ENSMUSG00000002320	protein_coding	Tm9sf1	48.75
ENSMUSG00000002324	protein_coding	Rec8	52.05
ENSMUSG00000002325	protein_coding	Irf9	50.48
ENSMUSG00000002326	protein_coding	Gmpr2	43.87
ENSMUSG00000002329	protein_coding	Mdp1	48.52
ENSMUSG00000002332	protein_coding	Dhrs1	49.3
ENSMUSG00000002341	protein_coding	Ncan	50.75
ENSMUSG00000002342	protein_coding	Tmem161a	51.57
ENSMUSG00000002343	protein_coding	Armc6	49.74
ENSMUSG00000002345	protein_coding	Borcs8	51.16
ENSMUSG00000002346	protein_coding	Slc25a42	50.79
ENSMUSG00000002365	protein_coding	Snx9	47.21
ENSMUSG00000002372	protein_coding	Ranbp3	51.62
ENSMUSG00000002379	protein_coding	Ndufa11	55.31
ENSMUSG00000002384	protein_coding	Bmp8b	51.54
ENSMUSG00000002393	protein_coding	Nr2f6	59.82
ENSMUSG00000002395	protein_coding	Use1	54.63
ENSMUSG00000002396	protein_coding	Ocel1	56.76
ENSMUSG00000002409	protein_coding	Dyrk1b	58.19
ENSMUSG00000002413	protein_coding	Braf	38.7
ENSMUSG00000002416	protein_coding	Ndufb2	44.57
ENSMUSG00000002428	protein_coding	Hltf	38.41
ENSMUSG00000002455	protein_coding	Prpf6	44
ENSMUSG00000002458	protein_coding	Rgs19	53.91
ENSMUSG00000002459	protein_coding	Rgs20	41.08
ENSMUSG00000002475	protein_coding	Abhd3	41.08
ENSMUSG00000002477	protein_coding	Snrpd1	42.17
ENSMUSG00000002486	protein_coding	Tchp	53.74
ENSMUSG00000002489	protein_coding	Tiam1	47.65
ENSMUSG00000002496	protein_coding	Tsc2	52.47
ENSMUSG00000002500	protein_coding	Rpl3l	50.56
ENSMUSG00000002504	protein_coding	Slc9a3r2	56.2
ENSMUSG00000002524	protein_coding	Puf60	54.34
ENSMUSG00000002546	protein_coding	Golga2	51.59
ENSMUSG00000002550	protein_coding	Uck1	55.8
ENSMUSG00000002565	protein_coding	Scin	40.33
ENSMUSG00000002578	protein_coding	Ikzf4	47.46
ENSMUSG00000002580	protein_coding	Mien1	54.21
ENSMUSG00000002588	protein_coding	Pon1	43.3
ENSMUSG00000002602	protein_coding	Axl	50.35
ENSMUSG00000002603	protein_coding	Tgfb1	51.08
ENSMUSG00000002608	protein_coding	Ccdc97	53.23
ENSMUSG00000002617	protein_coding	Zfp40	36.73
ENSMUSG00000002625	protein_coding	Akap8l	45.87
ENSMUSG00000002633	protein_coding	Shh	55.67
ENSMUSG00000002635	protein_coding	Pdcd2l	46.76
ENSMUSG00000002658	protein_coding	Gtf2f1	51.22
ENSMUSG00000002660	protein_coding	Clpp	50.76
ENSMUSG00000002661	protein_coding	Alkbh7	54.89
ENSMUSG00000002664	protein_coding	Pspn	58.36
ENSMUSG00000002668	protein_coding	Dennd1c	50.49
ENSMUSG00000002679	protein_coding	Med6	40.58
ENSMUSG00000002688	protein_coding	Prkd1	39.21
ENSMUSG00000002699	protein_coding	Lcp2	44.94
ENSMUSG00000002718	protein_coding	Cse1l	42.76
ENSMUSG00000002728	protein_coding	Naa20	42.17
ENSMUSG00000002731	protein_coding	Prkra	42.86
ENSMUSG00000002732	protein_coding	Fkbp7	40.84
ENSMUSG00000002733	protein_coding	Plekha3	44.29
ENSMUSG00000002741	protein_coding	Ykt6	47.93
ENSMUSG00000002748	protein_coding	Baz1b	43.16
ENSMUSG00000002763	protein_coding	Pex6	53.43
ENSMUSG00000002767	protein_coding	Mrpl2	49.68
ENSMUSG00000002768	protein_coding	Mea1	54.64
ENSMUSG00000002769	protein_coding	Gnmt	53.24
ENSMUSG00000002771	protein_coding	Grin2d	52.01
ENSMUSG00000002778	protein_coding	Kdelr1	49.36
ENSMUSG00000002781	protein_coding	Tmem143	50.09
ENSMUSG00000002791	transcribed_unprocessed_pseudogene	Pdxk-ps	50.58
ENSMUSG00000002797	protein_coding	Ggct	43.86
ENSMUSG00000002799	protein_coding	Jag2	59.59
ENSMUSG00000002803	protein_coding	Btbd6	58.85
ENSMUSG00000002804	protein_coding	Nudt14	54.67
ENSMUSG00000002808	protein_coding	Epdr1	40.58
ENSMUSG00000002812	protein_coding	Flii	54.04
ENSMUSG00000002814	protein_coding	Top3a	45.35
ENSMUSG00000002820	protein_coding	Atg4d	51.54
ENSMUSG00000002825	protein_coding	Qtrt1	51.14
ENSMUSG00000002831	protein_coding	Plin4	55.19
ENSMUSG00000002833	protein_coding	Hdgfl2	49.89
ENSMUSG00000002835	protein_coding	Chaf1a	48.58
ENSMUSG00000002844	protein_coding	Adprh	48.95
ENSMUSG00000002845	protein_coding	Tmem39a	42.06
ENSMUSG00000002846	protein_coding	Timmdc1	45.02
ENSMUSG00000002847	protein_coding	Pla1a	45.28
ENSMUSG00000002870	protein_coding	Mcm2	51.93
ENSMUSG00000002871	protein_coding	Tpra1	55.51
ENSMUSG00000002881	protein_coding	Nab1	41.06
ENSMUSG00000002885	protein_coding	Adgre5	50.98
ENSMUSG00000002897	protein_coding	Il17ra	49.53
